
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity in Stn Frame [ m s^-1 ]
1.09999999e-001, 1.58844352e-001, 0.00000000e+000, 1.10994235e-001
1.09999999e-001, 1.60301641e-001, 0.00000000e+000, 1.11679420e-001
1.09999999e-001, 1.61758929e-001, 0.00000000e+000, 1.12364627e-001
1.09999999e-001, 1.63216218e-001, 0.00000000e+000, 1.13035209e-001
1.09999999e-001, 1.64673507e-001, 0.00000000e+000, 1.13706194e-001
1.09999999e-001, 1.66130796e-001, 0.00000000e+000, 1.14377610e-001
1.09999999e-001, 1.67588085e-001, 0.00000000e+000, 1.15007497e-001
1.09999999e-001, 1.69045374e-001, 0.00000000e+000, 1.15637816e-001
1.09999999e-001, 1.70502663e-001, 0.00000000e+000, 1.16268642e-001
1.09999999e-001, 1.71959952e-001, 0.00000000e+000, 1.16837732e-001
1.09999999e-001, 1.73417240e-001, 0.00000000e+000, 1.17405079e-001
1.09999999e-001, 1.74874529e-001, 0.00000000e+000, 1.17973149e-001
1.09999999e-001, 1.76331818e-001, 0.00000000e+000, 1.18467487e-001
1.09999999e-001, 1.77789107e-001, 0.00000000e+000, 1.18956938e-001
1.09999999e-001, 1.79246396e-001, 0.00000000e+000, 1.19447410e-001
1.09999999e-001, 1.80703685e-001, 0.00000000e+000, 1.19862266e-001
1.09999999e-001, 1.82160974e-001, 0.00000000e+000, 1.20269135e-001
1.09999999e-001, 1.83618262e-001, 0.00000000e+000, 1.20677412e-001
1.09999999e-001, 1.85075551e-001, 0.00000000e+000, 1.21019341e-001
1.09999999e-001, 1.86532840e-001, 0.00000000e+000, 1.21351808e-001
1.09999999e-001, 1.87990129e-001, 0.00000000e+000, 1.21686257e-001
1.09999999e-001, 1.89447418e-001, 0.00000000e+000, 1.21977478e-001
1.09999999e-001, 1.90904707e-001, 0.00000000e+000, 1.22261547e-001
1.09999999e-001, 1.92361996e-001, 0.00000000e+000, 1.22548454e-001
1.09999999e-001, 1.93819284e-001, 0.00000000e+000, 1.22830085e-001
1.09999999e-001, 1.95276573e-001, 0.00000000e+000, 1.23113349e-001
1.09999999e-001, 1.96733862e-001, 0.00000000e+000, 1.23400576e-001
1.09999999e-001, 1.98191151e-001, 0.00000000e+000, 1.23732217e-001
