
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity in Stn Frame [ m s^-1 ]
1.09999999e-001, 1.67588085e-001, 0.00000000e+000, 1.49228692e-001
1.09999999e-001, 1.69045374e-001, 0.00000000e+000, 1.47513166e-001
1.09999999e-001, 1.70502663e-001, 0.00000000e+000, 1.45832583e-001
1.09999999e-001, 1.71959952e-001, 0.00000000e+000, 1.44326419e-001
1.09999999e-001, 1.73417240e-001, 0.00000000e+000, 1.42867163e-001
1.09999999e-001, 1.74874529e-001, 0.00000000e+000, 1.41450763e-001
1.09999999e-001, 1.76331818e-001, 0.00000000e+000, 1.40308067e-001
1.09999999e-001, 1.77789107e-001, 0.00000000e+000, 1.39226034e-001
1.09999999e-001, 1.79246396e-001, 0.00000000e+000, 1.38187483e-001
1.09999999e-001, 1.80703685e-001, 0.00000000e+000, 1.37424916e-001
1.09999999e-001, 1.82160974e-001, 0.00000000e+000, 1.36725858e-001
1.09999999e-001, 1.83618262e-001, 0.00000000e+000, 1.36061952e-001
1.09999999e-001, 1.85075551e-001, 0.00000000e+000, 1.35638595e-001
1.09999999e-001, 1.86532840e-001, 0.00000000e+000, 1.35271594e-001
1.09999999e-001, 1.87990129e-001, 0.00000000e+000, 1.34925440e-001
1.09999999e-001, 1.89447418e-001, 0.00000000e+000, 1.34752005e-001
1.09999999e-001, 1.90904707e-001, 0.00000000e+000, 1.34620234e-001
1.09999999e-001, 1.92361996e-001, 0.00000000e+000, 1.34495541e-001
1.09999999e-001, 1.93819284e-001, 0.00000000e+000, 1.34480298e-001
1.09999999e-001, 1.95276573e-001, 0.00000000e+000, 1.34494513e-001
1.09999999e-001, 1.96733862e-001, 0.00000000e+000, 1.34509400e-001
1.09999999e-001, 1.98191151e-001, 0.00000000e+000, 1.34612754e-001
1.09999999e-001, 1.99648440e-001, 0.00000000e+000, 1.34749010e-001
1.09999999e-001, 2.01105729e-001, 0.00000000e+000, 1.34889007e-001
1.09999999e-001, 2.02563018e-001, 0.00000000e+000, 1.35125294e-001
1.09999999e-001, 2.04020306e-001, 0.00000000e+000, 1.35412037e-001
1.09999999e-001, 2.05477595e-001, 0.00000000e+000, 1.35713547e-001
1.09999999e-001, 2.06934884e-001, 0.00000000e+000, 1.36133686e-001
1.09999999e-001, 2.08392173e-001, 0.00000000e+000, 1.36630207e-001
1.09999999e-001, 2.09849462e-001, 0.00000000e+000, 1.37155637e-001
1.09999999e-001, 2.11306751e-001, 0.00000000e+000, 1.37822479e-001
1.09999999e-001, 2.12764040e-001, 0.00000000e+000, 1.38590679e-001
1.09999999e-001, 2.14221328e-001, 0.00000000e+000, 1.39398873e-001
1.09999999e-001, 2.15678617e-001, 0.00000000e+000, 1.40346080e-001
1.09999999e-001, 2.17135906e-001, 0.00000000e+000, 1.41401634e-001
1.09999999e-001, 2.18593195e-001, 0.00000000e+000, 1.42500967e-001
1.09999999e-001, 2.20050484e-001, 0.00000000e+000, 1.43710747e-001
1.09999999e-001, 2.21507773e-001, 0.00000000e+000, 1.45014182e-001
1.09999999e-001, 2.22965062e-001, 0.00000000e+000, 1.46359459e-001
1.09999999e-001, 2.24422351e-001, 0.00000000e+000, 1.47791833e-001
1.09999999e-001, 2.25879639e-001, 0.00000000e+000, 1.49304196e-001
1.09999999e-001, 2.27336928e-001, 0.00000000e+000, 1.50855094e-001
1.09999999e-001, 2.28794217e-001, 0.00000000e+000, 1.52488768e-001
